"","","","/表頭_項目_db","事業所数","合計","衣料品計","紳士服・洋品","婦人・子供服・洋品","その他の衣料品","身の回り品","飲食料品","その他計","家具","家庭用電気機械器具","家庭用品","その他の商品","食堂・喫茶","商品券販売額","営業日数","従業者数","売場面積"
"地域_db","表側_項目_db","時間軸_db","/単位_db","店","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","日","人","千平方m"
"青森県","合計(百貨店＋スーパー)","2020年6月","","74","14876","1517","284","876","105","251","11259","2101","16","109","200","1734","42","41","29.9","7705","341"
"青森県","合計(百貨店＋スーパー)","2020年7月","","74","15086","1251","192","709","115","235","11769","2067","15","104","188","1716","44","61","30.7","7363","340"
"青森県","合計(百貨店＋スーパー)","2020年8月","","74","16440","1174","167","676","111","220","12942","2323","15","111","195","1953","49","51","31","7782","340"
"青森県","合計(百貨店＋スーパー)","2020年9月","","74","14044","1081","145","629","103","204","10947","2016","11","89","168","1697","50","36","30.1","7315","340"
"青森県","合計(百貨店＋スーパー)","2020年10月","","74","14324","1293","230","760","120","183","11144","1888","13","85","170","1581","39","37","30.7","7296","340"
"青森県","合計(百貨店＋スーパー)","2020年11月","","74","14826","1336","248","758","130","200","11412","2078","13","98","176","1753","38","45","30.1","7317","340"
"青森県","合計(百貨店＋スーパー)","2020年12月","","75","18951","1334","250","747","111","226","14661","2956","13","144","211","2537","50","79","30.7","7449","343"
"青森県","百貨店","2018年","","8","34072","11692","1514","7520","846","1813","13542","8837","105","275","593","7183","681","281","364.4","1193","127"
"青森県","百貨店","2019年","","7","32976","11234","1392","7201","948","1693","12850","8893","103","279","594","7188","729","179","364.5","1098","108"
"青森県","百貨店","2020年","","7","27081","8300","1002","5246","799","1253","11688","7093","55","287","383","5826","542","163","364.9","853","108"
"青森県","百貨店","2018年度","","8","34243","11818","1531","7566","867","1854","13475","8950","116","276","626","7224","708","259","364.6","1182","127"
"青森県","百貨店","2019年度","","7","31560","10465","1281","6668","942","1574","12527","8568","80","278","514","6982","714","177","365.2","935","108"
"青森県","百貨店","2020年1～3月","","7","7532","2523","320","1592","229","382","2996","2013","15","79","113","1621","186","42","90.5","935","108"
"青森県","百貨店","2020年4～6月","","7","5628","1736","202","1178","123","233","2396","1495","11","64","70","1256","95","32","91","913","108"
"青森県","百貨店","2020年7～9月","","7","6595","1920","198","1189","219","313","2910","1765","15","72","100","1439","139","41","91.5","905","108"
"青森県","百貨店","2020年10～12月","","7","7325","2121","282","1287","228","324","3384","1819","13","72","101","1510","123","49","91.9","853","108"
"青森県","百貨店","2020年1月","","7","2756","1023","132","637","83","172","983","750","7","34","41","599","71","13","30.9","1016","108"
"青森県","百貨店","2020年2月","","7","2361","683","89","429","67","97","1064","614","4","21","28","505","56","14","28.6","990","108"
"青森県","百貨店","2020年3月","","7","2415","816","99","525","79","112","950","649","5","24","44","517","59","15","31","935","108"
"青森県","百貨店","2020年4月","","7","1606","478","43","337","36","62","721","406","2","16","17","347","25","11","30","933","108"
"青森県","百貨店","2020年5月","","7","1726","481","54","335","35","57","755","489","3","23","20","415","29","8","31","909","108"
"青森県","百貨店","2020年6月","","7","2297","777","105","506","52","114","920","600","6","26","33","495","41","13","30","913","108"
"青森県","百貨店","2020年7月","","7","2325","683","78","423","75","107","1060","582","5","24","33","478","43","17","31","908","108"
"青森県","百貨店","2020年8月","","7","2265","611","63","383","72","93","1033","622","6","27","34","507","48","14","30.6","911","108"
"青森県","百貨店","2020年9月","","7","2004","626","57","383","73","113","818","561","4","21","33","454","49","9","29.9","905","108"
"青森県","百貨店","2020年10月","","7","2079","694","90","439","76","90","844","542","5","20","27","454","37","10","30.9","875","108"
"青森県","百貨店","2020年11月","","7","2243","686","91","413","82","101","1004","553","4","21","32","459","37","17","30","862","108"
"青森県","百貨店","2020年12月","","7","3003","741","101","436","70","134","1536","725","5","32","42","598","48","22","31","853","108"
"青森県","スーパー","2018年","","56","133971","8355","1840","4612","549","1354","108716","16900","102","748","1635","14397","18","473","364.6","5599","217"
"青森県","スーパー","2019年","","57","134240","8132","1810","4542","536","1243","109057","17051","94","764","1595","14576","21","458","363.8","5694","217"
"青森県","スーパー","2020年","","68","150615","6842","1491","3713","460","1177","125619","18155","85","887","1771","15394","19","410","365.1","6596","235"
"青森県","スーパー","2018年度","","56","133852","8271","1822","4603","533","1313","108691","16890","103","760","1624","14384","18","471","364.5","5420","217"
"青森県","スーパー","2019年度","","67","136191","7937","1766","4423","525","1224","110999","17255","85","734","1637","14777","23","437","365.2","6704","230"
"青森県","スーパー","2020年1～3月","","67","33925","1881","390","1110","115","267","27788","4256","16","202","422","3610","6","111","90.9","6704","230"
"青森県","スーパー","2020年4～6月","","67","36939","1532","348","801","103","280","31252","4156","17","198","443","3495","4","79","90.9","6792","233"
"青森県","スーパー","2020年7～9月","","67","38975","1587","306","825","110","346","32748","4640","26","232","451","3928","5","108","91.8","6410","232"
"青森県","スーパー","2020年10～12月","","68","40776","1842","446","977","133","285","33832","5103","26","255","456","4361","5","112","91.5","6596","235"
"青森県","スーパー","2020年1月","","57","10868","777","178","431","53","115","8648","1443","7","79","141","1214","2","45","31","5598","217"
"青森県","スーパー","2020年2月","","57","10397","512","100","317","26","68","8646","1239","4","49","128","1057","2","25","29.1","5463","217"
"青森県","スーパー","2020年3月","","67","12659","592","112","362","36","83","10493","1574","5","75","153","1339","2","41","30.8","6704","230"
"青森県","スーパー","2020年4月","","67","11843","302","63","160","19","61","10291","1251","3","50","133","1064","1","28","30.1","6321","231"
"青森県","スーパー","2020年5月","","67","12516","489","106","271","32","81","10622","1404","5","65","143","1191","1","23","30.9","6785","231"
"青森県","スーパー","2020年6月","","67","12580","740","180","370","53","138","10339","1501","10","83","167","1240","2","29","29.9","6792","233"
"青森県","スーパー","2020年7月","","67","12761","568","114","287","40","127","10709","1484","10","80","155","1238","1","44","30.7","6455","232"
"青森県","スーパー","2020年8月","","67","14174","563","104","293","40","127","11909","1701","9","84","161","1446","2","37","31","6871","232"
"青森県","スーパー","2020年9月","","67","12040","456","88","246","30","91","10129","1455","7","68","135","1243","2","27","30.1","6410","232"
"青森県","スーパー","2020年10月","","67","12245","599","141","321","44","93","10300","1346","9","66","143","1127","1","27","30.7","6421","232"
"青森県","スーパー","2020年11月","","67","12583","650","157","346","48","99","10408","1525","9","77","144","1294","2","28","30.1","6455","232"
"青森県","スーパー","2020年12月","","68","15948","593","149","311","41","92","13124","2231","8","112","169","1940","2","57","30.7","6596","235"
"岩手県","合計(百貨店＋スーパー)","2018年","","58","130829","18603","3743","9957","1437","3466","88970","23256","505","1567","2665","17859","660","1365","363.5","5257","265"
"岩手県","合計(百貨店＋スーパー)","2019年","","57","130741","17973","3599","9682","1398","3294","89827","22941","408","1597","2610","17725","601","1274","362.6","5282","271"
"岩手県","合計(百貨店＋スーパー)","2020年","","68","143441","15364","2874","7646","1171","3673","106936","21141","415","1492","2564","16176","493","1064","364.2","6141","304"
"岩手県","合計(百貨店＋スーパー)","2018年度","","56","131211","18612","3740","9974","1445","3454","89291","23307","487","1585","2650","17957","629","1348","363.2","4880","262"
"岩手県","合計(百貨店＋スーパー)","2019年度","","67","132071","17455","3482","9357","1364","3253","92032","22584","398","1504","2618","17459","605","1212","363.8","6078","300"
"岩手県","合計(百貨店＋スーパー)","2020年1～3月","","67","33095","4149","776","2286","313","774","23516","5430","90","357","639","4194","150","260","90.4","6078","300"
"岩手県","合計(百貨店＋スーパー)","2020年4～6月","","67","34447","3311","630","1592","226","864","26476","4660","94","332","595","3556","83","241","90.3","6115","302"
"岩手県","合計(百貨店＋スーパー)","2020年7～9月","","67","36458","3386","561","1587","252","987","27986","5085","93","372","641","3851","129","267","91.9","5787","301"
"岩手県","合計(百貨店＋スーパー)","2020年10～12月","","68","39442","4518","907","2182","381","1048","28958","5966","138","432","690","4575","131","296","91.6","6141","304"
"岩手県","合計(百貨店＋スーパー)","2020年1月","","57","10873","1565","337","832","112","284","7324","1985","36","154","223","1515","57","115","30.8","4962","271"
"岩手県","合計(百貨店＋スーパー)","2020年2月","","57","10133","1171","211","664","111","186","7270","1692","21","99","195","1327","50","70","29","4885","271"
"岩手県","合計(百貨店＋スーパー)","2020年3月","","67","12088","1413","228","790","91","304","8922","1753","34","103","221","1352","43","75","30.6","6078","300"
"岩手県","合計(百貨店＋スーパー)","2020年4月","","67","10794","758","120","348","54","236","8656","1381","22","80","184","1073","22","84","29.9","5751","302"
"岩手県","合計(百貨店＋スーパー)","2020年5月","","67","11556","994","185","494","65","250","8971","1591","27","107","181","1254","22","68","30.5","6136","302"
"岩手県","合計(百貨店＋スーパー)","2020年6月","","67","12096","1560","325","750","107","378","8849","1688","45","144","231","1230","38","89","29.9","6115","302"
"岩手県","合計(百貨店＋スーパー)","2020年7月","","67","12240","1248","215","580","96","356","9307","1685","31","130","221","1258","45","96","30.7","5874","302"
"岩手県","合計(百貨店＋スーパー)","2020年8月","","67","13078","1086","175","490","87","334","10179","1813","29","132","224","1384","43","101","31","6181","302"
"岩手県","合計(百貨店＋スーパー)","2020年9月","","67","11139","1052","170","517","68","296","8500","1587","33","109","195","1209","41","70","30.2","5787","301"
"岩手県","合計(百貨店＋スーパー)","2020年10月","","67","11906","1574","300","790","141","342","8603","1729","42","123","214","1303","46","76","30.7","5794","301"
"岩手県","合計(百貨店＋スーパー)","2020年11月","","67","12314","1577","329","762","134","352","8886","1852","43","148","226","1392","43","81","30.2","5797","302"
"岩手県","合計(百貨店＋スーパー)","2020年12月","","68","15222","1368","278","630","106","354","11469","2385","53","160","249","1880","43","139","30.7","6141","304"
"岩手県","百貨店","2018年","","3","28548","11047","1933","6021","923","2169","9662","7839","303","479","1265","5180","612","379","363.7","572","58"
"岩手県","百貨店","2019年","","3","28163","10689","1823","5839","912","2116","9748","7726","245","536","1312","5077","556","357","363.4","550","65"
"岩手県","百貨店","2020年","","3","24259","8377","1393","4488","747","1748","9205","6677","249","533","1230","4212","452","289","362","515","63"
"岩手県","百貨店","2018年度","","3","28657","11113","1946","6059","936","2172","9707","7837","291","485","1276","5203","582","376","363.7","564","58"
"岩手県","百貨店","2019年度","","3","27474","10298","1742","5615","894","2047","9650","7525","243","527","1318","4876","560","343","364.4","547","63"
"岩手県","百貨店","2020年1～3月","","3","6329","2396","384","1367","201","445","2148","1786","56","111","319","1161","139","63","90.4","547","63"
"岩手県","百貨店","2020年4～6月","","3","4610","1615","278","860","134","343","1686","1309","55","117","247","818","73","62","88.3","545","63"
"岩手県","百貨店","2020年7～9月","","3","5631","1747","267","912","160","409","2338","1546","52","139","303","933","118","78","91.3","516","63"
"岩手県","百貨店","2020年10～12月","","3","7688","2618","465","1349","252","552","3034","2036","86","166","361","1301","122","86","92","515","63"
"岩手県","百貨店","2020年1月","","3","2264","906","161","501","61","183","702","656","21","45","110","428","53","24","30.7","537","65"
"岩手県","百貨店","2020年2月","","3","2071","712","109","398","84","121","788","571","13","35","96","381","47","16","28.7","534","65"
"岩手県","百貨店","2020年3月","","3","1994","778","114","468","55","141","658","558","23","31","113","352","40","23","31","547","63"
"岩手県","百貨店","2020年4月","","3","1172","351","52","188","34","77","486","335","12","26","72","205","19","20","28","524","63"
"岩手県","百貨店","2020年5月","","3","1385","449","79","246","36","87","491","445","15","37","68","307","18","16","31","552","63"
"岩手県","百貨店","2020年6月","","3","2053","815","147","426","64","178","708","529","27","54","107","306","35","27","29.3","545","63"
"岩手県","百貨店","2020年7月","","3","2162","678","108","347","63","160","959","525","16","46","107","314","41","30","31","525","63"
"岩手県","百貨店","2020年8月","","3","1863","533","80","272","56","126","804","526","16","51","100","319","39","31","30.3","543","63"
"岩手県","百貨店","2020年9月","","3","1606","536","79","293","41","123","576","495","20","42","96","299","37","17","30","516","63"
"岩手県","百貨店","2020年10月","","3","2321","917","153","491","98","174","769","635","22","47","109","415","42","18","31","515","63"
"岩手県","百貨店","2020年11月","","3","2548","942","174","490","88","189","953","654","26","59","120","409","40","26","30","515","63"
"岩手県","百貨店","2020年12月","","3","2819","760","138","367","66","188","1312","747","38","60","132","478","39","42","31","515","63"
"岩手県","スーパー","2018年","","55","102281","7556","1810","3935","514","1297","79308","15417","203","1087","1400","12679","48","986","363.5","4685","207"
"岩手県","スーパー","2019年","","54","102577","7284","1776","3844","487","1178","80079","15215","163","1061","1298","12648","45","918","362.5","4732","206"
"岩手県","スーパー","2020年","","65","119182","6987","1481","3158","424","1925","97731","14464","166","959","1334","11963","41","775","364.3","5626","240"
"岩手県","スーパー","2018年度","","53","102554","7499","1794","3914","509","1282","79585","15471","195","1100","1374","12754","47","972","363.2","4316","204"
"岩手県","スーパー","2019年度","","64","104597","7157","1740","3742","469","1206","82381","15059","154","977","1300","12583","45","870","363.7","5531","237"
"岩手県","スーパー","2020年1～3月","","64","26765","1753","392","919","113","329","21368","3645","34","246","320","3033","11","197","90.4","5531","237"
"岩手県","スーパー","2020年4～6月","","64","29837","1696","352","731","91","521","24791","3350","39","215","348","2738","10","179","90.5","5570","238"
"岩手県","スーパー","2020年7～9月","","64","30826","1639","294","675","92","578","25648","3540","41","232","337","2918","11","189","91.8","5271","238"
"岩手県","スーパー","2020年10～12月","","65","31754","1900","442","833","128","497","25925","3929","52","265","329","3274","10","210","91.6","5626","240"
"岩手県","スーパー","2020年1月","","54","8609","659","176","331","50","101","6621","1329","15","110","113","1087","4","91","30.8","4425","206"
"岩手県","スーパー","2020年2月","","54","8062","459","102","266","27","64","6482","1121","8","64","100","946","4","53","29","4351","206"
"岩手県","スーパー","2020年3月","","64","10094","635","114","322","36","164","8264","1195","12","72","107","1000","4","52","30.6","5531","237"
"岩手県","スーパー","2020年4月","","64","9622","407","68","159","20","159","8170","1046","9","54","111","868","3","65","30","5227","238"
"岩手県","スーパー","2020年5月","","64","10171","545","106","248","28","163","8480","1146","12","71","112","947","3","52","30.5","5584","238"
"岩手県","スーパー","2020年6月","","64","10043","744","178","325","42","199","8141","1158","17","90","124","923","3","62","30","5570","238"
"岩手県","スーパー","2020年7月","","64","10078","570","107","233","33","196","8348","1160","15","84","114","944","3","66","30.6","5349","238"
"岩手県","スーパー","2020年8月","","64","11215","553","95","219","31","208","9375","1287","14","81","124","1064","4","70","31","5638","238"
"岩手県","スーパー","2020年9月","","64","9533","516","92","224","28","173","7925","1092","12","67","100","909","3","53","30.2","5271","238"
"岩手県","スーパー","2020年10月","","64","9585","657","147","299","43","168","7835","1093","20","76","105","889","3","58","30.7","5279","238"
"岩手県","スーパー","2020年11月","","64","9766","635","154","272","46","163","7933","1198","17","89","107","983","3","55","30.2","5282","238"
"岩手県","スーパー","2020年12月","","65","12403","608","140","262","39","166","10157","1638","15","100","117","1402","4","98","30.7","5626","240"
"宮城県","合計(百貨店＋スーパー)","2018年","","154","411162","57601","11830","26747","2711","16314","282614","70946","1071","4911","11746","50944","2274","6709","363.6","15083","651"
"宮城県","合計(百貨店＋スーパー)","2019年","","155","406351","55606","11053","25710","2571","16272","280321","70424","1096","5012","11257","50816","2242","5268","363.8","14869","650"
"宮城県","合計(百貨店＋スーパー)","2020年","","157","402839","45244","8919","19566","2149","14610","293617","63978","913","5142","11335","45437","1150","4033","364.2","14932","638"
"宮城県","合計(百貨店＋スーパー)","2018年度","","153","411109","57441","11756","26628","2697","16360","282475","71193","1096","4976","11604","51260","2258","6600","364.1","14451","649"
"宮城県","合計(百貨店＋スーパー)","2019年度","","157","405253","53434","10653","24460","2454","15866","282078","69741","1014","4873","11176","50479","2199","5001","364.5","13162","640"
